strategy,sizing,trades,ending_bankroll,total_return,avg_trade_return_on_cost,max_drawdown,source_layer
classic_trend_down_price,fixed_20pct,57,83.8371443376613,-0.161628556623387,0.0602040653613856,0.7067212231444686,classic
rule_drop10_down_pricecap80,fixed_20pct,57,83.8371443376613,-0.161628556623387,0.0602040653613856,0.7067212231444686,optimizer
price_interval_down_65_80,fixed_25pct,42,83.29094588198076,-0.1670905411801924,0.0587628356022919,0.7075844933326738,extended_classic
rule_rise30to50_up,quarter_kelly_capped20,11,82.36919453304655,-0.1763080546695344,0.0039028461579387,0.3650762841794724,optimizer
rule_rise30to50_up,quarter_kelly,11,82.36919453304655,-0.1763080546695344,0.0039028461579387,0.3650762841794724,optimizer
value_down_margin2_book,quarter_kelly_capped20,10,82.1639437442561,-0.1783605625574389,-0.2280787362007415,0.2878302774699313,extended_classic
value_down_margin2_book,fixed_10pct,8,82.06844064077703,-0.1793155935922297,-0.2101480234255301,0.2021123826591122,classic
rule_rise30to50_up,half_kelly_capped20,11,82.05720461711414,-0.1794279538288585,0.0039028461579387,0.4434709978621732,optimizer
rule_drop10_down_combo80_neg,fixed_10pct,31,81.82131112864664,-0.1817868887135335,-0.0403676712376874,0.3819139802790903,optimizer
value_up_margin2,full_kelly_capped20,9,81.19653348924143,-0.1880346651075857,-0.0382218663153153,0.4434709978621731,classic
value_up_margin2,fixed_20pct,9,81.19653348924143,-0.1880346651075857,-0.0382218663153153,0.4434709978621731,classic
classic_trend_up_basic,fixed_25pct,20,81.13635294478777,-0.1886364705521223,0.034016271599727,0.5251606841458522,classic
price_interval_down_60_80,fixed_15pct,48,80.98083434861064,-0.1901916565138935,0.0247488994993917,0.6137741023085024,extended_classic
value_up_margin2,quarter_kelly_capped20,9,80.51519173641243,-0.1948480826358757,-0.0382218663153152,0.3650762841794724,classic
pressure_down_strong,fixed_10pct,35,80.43012041961504,-0.1956987958038496,-0.0386853428571028,0.4286998261554207,extended_classic
value_down_margin2,fixed_10pct,35,80.25072773402191,-0.1974927226597809,0.0072609975383147,0.3926375832260875,extended_classic
rule_drop10_down_pricecap75,fixed_20pct,41,80.20027736448621,-0.1979972263551378,0.073152965451715,0.7093877000998675,optimizer
classic_trend_down_score4,fixed_10pct,24,80.12243242913601,-0.1987756757086398,-0.0676463856769282,0.3848230313762543,classic
value_up_margin2,quarter_kelly_capped20,8,79.9376456388138,-0.2006235436118619,-0.0875201475499351,0.3587033199853444,extended_classic
value_up_margin2,half_kelly_capped20,9,79.67573744391883,-0.2032426255608116,-0.0382218663153153,0.4434709978621731,classic
rule_drop10_down_good_liq400,half_kelly_capped20,1,79.62264150943396,-0.2037735849056603,-1.0188679245283017,0.2037735849056604,optimizer
value_down_margin2,fixed_15pct,32,79.59559052690481,-0.2040440947309518,0.0383648146109737,0.5349189416848372,classic
rule_drop10_down_good_liq400,fixed_10pct,16,79.47632771857555,-0.2052367228142445,-0.1273882130744761,0.2194650657863465,optimizer
rule_drop10_down_pricecap80,quarter_kelly,35,79.45203351519015,-0.2054796648480984,0.0110146054990115,0.3584253351486017,optimizer
rule_drop10_down_pricecap80,quarter_kelly_capped20,35,79.45203351519015,-0.2054796648480984,0.0110146054990115,0.3584253351486017,optimizer
value_up_margin2,full_kelly_capped20,8,79.15927563164419,-0.2084072436835581,-0.0875201475499352,0.4434709978621731,extended_classic
value_up_margin2,fixed_20pct,8,79.15927563164419,-0.2084072436835581,-0.0875201475499352,0.4434709978621731,extended_classic
price_interval_up_45_65,fixed_15pct,3,78.53512823386271,-0.2146487176613729,-0.4701771077283374,0.2817626953125,extended_classic
value_down_margin5,half_kelly_capped20,29,78.29569686599785,-0.2170430313400214,0.0592670860731926,0.6198514792305536,classic
value_down_margin5,fixed_20pct,29,78.07081709475324,-0.2192918290524675,0.0592670860731926,0.6763189504232571,classic
