strategy,sizing,first_quote_ts,slug,side,entry_price,qhat_for_side,target_cost,shares,best_price_max_cost,outcome_up,pnl_usd,bankroll_after
model_value_random_forest,quarter_kelly,2026-04-26 16:05:01+00:00,btc-updown-5m-1777219500,buy_up,0.24,0.3352572150072149,1.0646837738658763,4.436182391107818,93.52799999999999,0.0,-1.1090455977769544,32.868839146251275
model_value_random_forest,quarter_kelly,2026-04-26 16:15:01+00:00,btc-updown-5m-1777220100,buy_up,0.52,0.6016215728715726,1.3972949737394509,2.687105718729713,2288.8788,1.0,1.2629396878029648,34.13177883405424
model_value_random_forest,quarter_kelly,2026-04-26 16:30:02+00:00,btc-updown-5m-1777221000,buy_down,0.59,0.676192881192881,1.7938514377715418,3.0404261657144778,51.448,1.0,-1.8242556994286865,32.307523134625555
model_value_random_forest,quarter_kelly,2026-04-26 16:40:02+00:00,btc-updown-5m-1777221600,buy_down,0.45,0.6961744829244829,3.615130819198734,8.033624042663853,53.208,0.0,4.33815698303848,36.645680117664035
model_value_random_forest,quarter_kelly,2026-04-26 16:45:02+00:00,btc-updown-5m-1777221900,buy_up,0.6,0.6320830095830096,0.7348148164943243,1.2246913608238739,171.456,1.0,0.47762963072131076,37.123309748385346
model_value_random_forest,quarter_kelly,2026-04-26 16:50:01+00:00,btc-updown-5m-1777222200,buy_up,0.3,0.3406402116402115,0.44999999999999996,1.5,0.44999999999999996,1.0,1.0350000000000001,38.15830974838535
model_value_random_forest,quarter_kelly,2026-04-26 17:00:00+00:00,btc-updown-5m-1777222800,buy_up,0.19,0.3048368205868206,1.3524626452073012,7.11822444845948,12.420300000000001,1.0,5.694579558767584,43.852889307152935
model_value_random_forest,quarter_kelly,2026-04-26 17:05:01+00:00,btc-updown-5m-1777223100,buy_up,0.73,0.8118251563251564,3.322471780432934,4.551331206072512,47.449999999999996,1.0,1.183346113578853,45.036235420731785
model_value_random_forest,quarter_kelly,2026-04-26 17:15:00+00:00,btc-updown-5m-1777223700,buy_down,0.41,0.4546190476190476,0.8514720054323178,2.076760988859312,95.23889999999999,1.0,-0.872239615320911,44.16399580541088
model_value_random_forest,quarter_kelly,2026-04-26 17:20:02+00:00,btc-updown-5m-1777224000,buy_up,0.64,0.6749193121693121,1.0709558028981476,1.6733684420283557,284.1728,0.0,-1.087689487318431,43.07630631809245
model_value_random_forest,quarter_kelly,2026-04-26 17:25:01+00:00,btc-updown-5m-1777224300,buy_up,0.65,0.6963914141414143,1.4274076900607469,2.1960118308626875,3.25,1.0,0.7466440224933137,43.82295034058576
model_value_random_forest,quarter_kelly,2026-04-26 17:30:02+00:00,btc-updown-5m-1777224600,buy_up,0.15,0.2448011525511525,1.221901823670427,8.146012157802847,55.1955,0.0,-1.3033619452484555,42.51958839533731
model_value_random_forest,quarter_kelly,2026-04-26 17:35:01+00:00,btc-updown-5m-1777224900,buy_up,0.52,0.6151791726791724,2.107801690691222,4.053464789790811,85.68560000000001,0.0,-2.14833633858913,40.371252056748176
model_value_random_forest,quarter_kelly,2026-04-26 17:40:02+00:00,btc-updown-5m-1777225200,buy_down,0.16,0.29541426166426166,1.6270366933709401,10.168979333568375,96.0544,1.0,-1.7287264867066239,38.64252557004155
model_value_random_forest,quarter_kelly,2026-04-26 17:50:02+00:00,btc-updown-5m-1777225800,buy_down,0.34,0.4167923280423276,1.124033901499493,3.3059820632338024,10.8732,0.0,2.148888341101972,40.79141391114352
model_value_random_forest,quarter_kelly,2026-04-26 17:55:01+00:00,btc-updown-5m-1777226100,buy_up,0.37,0.4333544973544972,1.0255236209205332,2.771685461947387,23.010299999999997,0.0,-1.053240475540007,39.738173435603514
model_value_random_forest,quarter_kelly,2026-04-26 18:00:00+00:00,btc-updown-5m-1777226400,buy_up,0.57,0.6784153439153435,2.504783569528212,4.394357139523179,12.112499999999999,0.0,-2.5487271409234435,37.18944629468007
model_value_random_forest,quarter_kelly,2026-04-26 18:05:01+00:00,btc-updown-5m-1777226700,buy_down,0.18,0.2508073223073225,0.8028308262860585,4.460171257144769,1.0476,1.0,-0.8474325388575062,36.34201375582256
model_value_random_forest,quarter_kelly,2026-04-26 18:10:02+00:00,btc-updown-5m-1777227000,buy_up,0.14,0.3117711640211639,1.8146831411949975,12.962022437107123,20.727000000000004,1.0,11.017719071541054,47.359732827363615
model_value_random_forest,quarter_kelly,2026-04-26 18:15:02+00:00,btc-updown-5m-1777227300,buy_up,0.66,0.6707702020202017,0.37505433100991237,0.5682641378938066,222.948,1.0,0.18752716550495616,47.54725999286857
model_value_random_forest,quarter_kelly,2026-04-26 18:20:01+00:00,btc-updown-5m-1777227600,buy_up,0.67,0.7672634680134678,3.5034934859427325,5.229094755138406,140.9948,1.0,1.6733103216442895,49.220570314512855
