strategy,sizing,entry_minute,remaining_minutes,first_quote_ts,slug,side,target_cost,shares,entry_price,pnl_usd,bankroll_after
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 15:30:02+00:00,btc-updown-5m-1777217400,buy_down,7.818914266961937,11.16987752423134,0.7,3.2392644820270893,34.51492154987484
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 15:45:02+00:00,btc-updown-5m-1777218300,buy_down,8.62873038746871,10.272298080319894,0.84,1.5408447120479842,36.05576626192283
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 15:55:02+00:00,btc-updown-5m-1777218900,buy_down,9.013941565480707,10.481327401721751,0.86,-9.118754839497923,26.937011422424902
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 16:05:01+00:00,btc-updown-5m-1777219500,buy_down,6.7342528556062256,8.745782929358734,0.77,1.9240722444589213,28.86108366688382
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 16:30:02+00:00,btc-updown-5m-1777221000,buy_down,7.215270916720955,12.22927274020501,0.59,-7.337563644123006,21.523520022760817
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 16:40:02+00:00,btc-updown-5m-1777221600,buy_down,5.380880005690204,11.957511123756008,0.45,6.457056006828245,27.980576029589063
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 17:00:00+00:00,btc-updown-5m-1777222800,buy_down,6.995144007397266,8.530663423655202,0.82,-7.080450641633817,20.900125387955246
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 17:30:02+00:00,btc-updown-5m-1777224600,buy_down,5.225031346988811,6.075617845335827,0.86,0.7898303198936576,21.689955707848902
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 17:55:01+00:00,btc-updown-5m-1777226100,buy_down,5.422488926962226,8.472638948378478,0.64,2.965423631932467,24.65537933978137
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 18:10:02+00:00,btc-updown-5m-1777227000,buy_down,6.163844834945342,7.08487912062683,0.87,-6.234693626151611,18.42068571362976
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 18:25:01+00:00,btc-updown-5m-1777227900,buy_down,4.60517142840744,5.482346938580285,0.84,0.8223520407870429,19.2430377544168
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 19:00:02+00:00,btc-updown-5m-1777230000,buy_down,4.8107594386042,5.466772089322955,0.88,0.601344929825525,19.844382684242326
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 19:25:02+00:00,btc-updown-5m-1777231500,buy_down,4.961095671060582,6.614794228080775,0.75,1.587550614739386,21.43193329898171
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 19:55:01+00:00,btc-updown-5m-1777233300,buy_down,5.357983324745428,7.765193224268737,0.69,2.3295579672806213,23.761491266262333
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 20:00:02+00:00,btc-updown-5m-1777233600,buy_down,5.940372816565583,7.33379360069825,0.81,-6.013710752572566,17.74778051368977
